Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
"09/20/2022 08:52",3866.75,3869.75,3866,3866,-0.75,-0.02%,7476,N/A
"09/20/2022 08:51",3869.5,3870,3866.75,3866.75,-3,-0.08%,7540,N/A
"09/20/2022 08:50",3872,3872.5,3869.25,3869.75,-2.25,-0.06%,7549,N/A
"09/20/2022 08:49",3876.25,3876.5,3871.75,3872,-4.25,-0.11%,7032,N/A
"09/20/2022 08:48",3875.5,3877,3873.75,3876.25,0.75,+0.02%,6681,N/A
"09/20/2022 08:47",3873.25,3877.5,3873,3875.5,2.25,+0.06%,10435,N/A
"09/20/2022 08:46",3870.75,3873.5,3870.5,3873.25,2.5,+0.06%,6299,N/A
"09/20/2022 08:45",3871.25,3872.5,3869.75,3870.75,-0.5,-0.01%,8321,N/A
"09/20/2022 08:44",3867.75,3871.75,3867.75,3871.25,3.25,+0.08%,5743,N/A
"09/20/2022 08:43",3869,3870.5,3867.25,3868,-1.25,-0.03%,5760,N/A
"09/20/2022 08:42",3869.25,3871,3868,3869.25,-0.25,-0.01%,7770,N/A
"09/20/2022 08:41",3871,3871.25,3868.75,3869.5,-1.75,-0.05%,9888,N/A
"09/20/2022 08:40",3874.5,3875,3871,3871.25,-3.25,-0.08%,7421,N/A
"09/20/2022 08:39",3873.25,3875.75,3873,3874.5,1.25,+0.03%,7194,N/A
"09/20/2022 08:38",3879.5,3879.5,3872.75,3873.25,-6.25,-0.16%,10501,N/A
"09/20/2022 08:37",3881,3882.75,3879.5,3879.5,-1.25,-0.03%,5531,N/A
"09/20/2022 08:36",3878.75,3882.75,3878.25,3880.75,2.25,+0.06%,6981,N/A
"09/20/2022 08:35",3882.75,3882.75,3877.75,3878.5,-4.25,-0.11%,9642,N/A
"09/20/2022 08:34",3884,3884.5,3882.25,3882.75,-1,-0.03%,7206,N/A
"09/20/2022 08:33",3881.75,3884.25,3881,3883.75,2.25,+0.06%,9327,N/A
"09/20/2022 08:32",3879.75,3883,3877,3881.5,1.75,+0.05%,12917,N/A
