Symbol,Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
ETZ22,"10/19/2022 08:00",3710.25,3740.75,3700.5,3736.5,26.25,+0.71%,386797,N/A
ETZ22,"10/19/2022 04:00",3730.75,3753.25,3701.75,3710.25,-20.75,-0.56%,148792,N/A
ETZ22,"10/19/2022 00:00",3759,3761.5,3721.5,3731,-28.25,-0.75%,79323,N/A
ETZ22,"10/18/2022 20:00",3766.5,3774.25,3758,3759.25,-7.25,-0.19%,41393,N/A
ETZ22,"10/18/2022 16:00",3759.25,3773.25,3751.75,3766.5,8,+0.21%,53128,N/A
ETZ22,"10/18/2022 12:00",3726.5,3761.75,3703,3758.5,32,+0.86%,670942,N/A
ETZ22,"10/18/2022 08:00",3773.5,3777.25,3697.25,3726.5,-47,-1.25%,1011548,N/A
ETZ22,"10/18/2022 04:00",3730.5,3776,3723.5,3773.5,43.25,+1.16%,126351,N/A
ETZ22,"10/18/2022 00:00",3753.75,3760.5,3729.75,3730.25,-23.25,-0.62%,80015,N/A
ETZ22,"10/17/2022 20:00",3718.5,3765,3710.75,3753.5,35,+0.94%,74822,N/A
ETZ22,"10/17/2022 16:00",3702.25,3722.5,3702.25,3718.5,19.25,+0.52%,38957,N/A
ETZ22,"10/17/2022 12:00",3687.5,3702.25,3681.5,3699.25,11.75,+0.32%,349948,N/A
ETZ22,"10/17/2022 08:00",3648.75,3702.5,3648.75,3687.5,38.75,+1.06%,774820,N/A
ETZ22,"10/17/2022 04:00",3630.5,3651.5,3627.75,3648.75,18.5,+0.51%,78215,N/A
ETZ22,"10/17/2022 00:00",3613.75,3640.25,3613.5,3630.25,16.5,+0.46%,73648,N/A
ETZ22,"10/16/2022 20:00",3612,3616.25,3606.75,3613.75,2,+0.06%,32831,N/A
ETZ22,"10/16/2022 16:00",3591.25,3616.75,3588.5,3611.75,15,+0.42%,43877,N/A
ETZ22,"10/14/2022 12:00",3614.75,3623.5,3591.25,3596.75,-17.75,-0.49%,391758,N/A
ETZ22,"10/14/2022 08:00",3723.5,3726.25,3605.25,3614.5,-109,-2.93%,1078949,N/A
ETZ22,"10/14/2022 04:00",3667.25,3734,3660.25,3723.5,56.25,+1.53%,180906,N/A
ETZ22,"10/14/2022 00:00",3704.75,3713.75,3665,3667.25,-38,-1.03%,71848,N/A
ETZ22,"10/13/2022 20:00",3679,3715,3676.75,3705.25,26,+0.71%,61397,N/A
ETZ22,"10/13/2022 16:00",3680.25,3686,3670,3679.25,-1,-0.03%,35166,N/A
ETZ22,"10/13/2022 12:00",3652,3697.75,3651,3680.25,28.25,+0.77%,430374,N/A
ETZ22,"10/13/2022 08:00",3520.25,3675.5,3502,3652,131.5,+3.74%,1198700,N/A
ETZ22,"10/13/2022 04:00",3602,3648,3506.75,3520.5,-81.5,-2.26%,207495,N/A
ETZ22,"10/13/2022 00:00",3591.75,3603.75,3581.5,3602,10.25,+0.29%,46240,N/A
ETZ22,"10/12/2022 20:00",3601,3602.5,3590.25,3591.75,-9.25,-0.26%,22942,N/A
ETZ22,"10/12/2022 16:00",3595,3602.25,3593.25,3601,7.75,+0.22%,18637,N/A
ETZ22,"10/12/2022 12:00",3608,3616.5,3587.25,3593.25,-14.75,-0.41%,415588,N/A
ETZ22,"10/12/2022 08:00",3608.25,3620.75,3585.25,3608,-0.25,-0.01%,785132,N/A
ETZ22,"10/12/2022 04:00",3618.5,3634.75,3601,3608.25,-10.5,-0.29%,112105,N/A
ETZ22,"10/12/2022 00:00",3616.75,3635.5,3605,3618.75,2.25,+0.06%,73924,N/A
ETZ22,"10/11/2022 20:00",3612.25,3623.25,3597.75,3616.5,4.25,+0.12%,52122,N/A
