Symbol,Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
ETU22,"06/10/2022 15:55",3906.75,3910,3906.5,3906.5,-0.5,-0.01%,688,N/A
ETU22,"06/10/2022 15:50",3909,3909,3906.5,3907,-2.25,-0.06%,819,N/A
ETU22,"06/10/2022 15:45",3909,3911.75,3907.75,3909.25,0.25,+0.01%,841,N/A
ETU22,"06/10/2022 15:40",3910.5,3910.75,3908.5,3909,-1.5,-0.04%,672,N/A
ETU22,"06/10/2022 15:35",3911.25,3913.75,3909.5,3910.5,-0.5,-0.01%,750,N/A
ETU22,"06/10/2022 15:30",3911,3911.75,3908.75,3911,0,0.00%,819,N/A
ETU22,"06/10/2022 15:25",3910.5,3913,3909.5,3911,0.75,+0.02%,969,N/A
ETU22,"06/10/2022 15:20",3910.25,3913.5,3908.25,3910.25,0,0.00%,1027,N/A
ETU22,"06/10/2022 15:15",3909.25,3912.5,3909.25,3910.25,0.75,+0.02%,1202,N/A
ETU22,"06/10/2022 15:10",3907.5,3910,3906,3909.5,2.25,+0.06%,1506,N/A
ETU22,"06/10/2022 15:05",3908.25,3908.75,3905.25,3907.25,-1,-0.03%,2148,N/A
ETU22,"06/10/2022 15:00",3899.5,3908.75,3896.5,3908.25,8.75,+0.22%,11652,N/A
ETU22,"06/10/2022 14:55",3913,3915.5,3898.75,3899.5,-13.25,-0.34%,16915,N/A
ETU22,"06/10/2022 14:50",3911,3919.25,3908,3912.75,1.75,+0.04%,12998,N/A
ETU22,"06/10/2022 14:45",3922.25,3923,3910.25,3911,-11.25,-0.29%,10033,N/A
ETU22,"06/10/2022 14:40",3932.25,3935,3919.25,3922.25,-9.75,-0.25%,9364,N/A
ETU22,"06/10/2022 14:35",3929,3938.25,3926.25,3932,3.25,+0.08%,11097,N/A
ETU22,"06/10/2022 14:30",3935.25,3936,3927.25,3928.75,-6.5,-0.17%,8898,N/A
ETU22,"06/10/2022 14:25",3933,3943.75,3932.75,3935.25,2.5,+0.06%,13196,N/A
ETU22,"06/10/2022 14:20",3934.25,3934.5,3922.25,3932.75,-1.25,-0.03%,8278,N/A
ETU22,"06/10/2022 14:15",3927.75,3934.75,3926.75,3934,6.25,+0.16%,5739,N/A
ETU22,"06/10/2022 14:10",3922.25,3929.75,3921,3927.75,6,+0.15%,5769,N/A
ETU22,"06/10/2022 14:05",3922.75,3924.5,3917.5,3921.75,-1.25,-0.03%,6044,N/A
ETU22,"06/10/2022 14:00",3932.75,3936.5,3921.75,3923,-9.5,-0.24%,8840,N/A
ETU22,"06/10/2022 13:55",3928.25,3935.75,3926.75,3932.5,4.25,+0.11%,8807,N/A
ETU22,"06/10/2022 13:50",3927,3928.5,3923,3928.25,1.25,+0.03%,4142,N/A
ETU22,"06/10/2022 13:45",3917.75,3927.5,3917.25,3927,9.25,+0.24%,4677,N/A
ETU22,"06/10/2022 13:40",3919.75,3920.25,3914.25,3917.75,-2,-0.05%,4979,N/A
ETU22,"06/10/2022 13:35",3924.5,3924.75,3919.25,3919.75,-5,-0.13%,3476,N/A
ETU22,"06/10/2022 13:30",3919.75,3927,3919.25,3924.75,5.25,+0.13%,5030,N/A
ETU22,"06/10/2022 13:25",3926,3927.25,3916.5,3919.5,-6.25,-0.16%,6323,N/A
ETU22,"06/10/2022 13:20",3921.75,3928,3921.75,3925.75,4.25,+0.11%,5078,N/A
ETU22,"06/10/2022 13:15",3914,3923.5,3912,3921.5,7.5,+0.19%,4463,N/A
ETU22,"06/10/2022 13:10",3915.5,3917.75,3913,3914,-1.5,-0.04%,2879,N/A
ETU22,"06/10/2022 13:05",3910.25,3917.5,3909.75,3915.5,5.25,+0.13%,5483,N/A
ETU22,"06/10/2022 13:00",3917.5,3918.25,3910,3910.25,-7.25,-0.19%,7445,N/A
ETU22,"06/10/2022 12:55",3919.75,3920,3914,3917.5,-2.5,-0.06%,6133,N/A
ETU22,"06/10/2022 12:50",3925.5,3929.5,3919.5,3920,-5.5,-0.14%,8246,N/A
ETU22,"06/10/2022 12:45",3917.5,3926,3915.25,3925.5,8,+0.20%,8048,N/A
ETU22,"06/10/2022 12:40",3919.25,3919.75,3914.75,3917.5,-1.75,-0.04%,4437,N/A
ETU22,"06/10/2022 12:35",3910.75,3919.5,3910.75,3919.25,8.75,+0.22%,5746,N/A
ETU22,"06/10/2022 12:30",3916.75,3916.75,3906.75,3910.5,-6.25,-0.16%,6555,N/A
ETU22,"06/10/2022 12:25",3910.75,3917,3910,3916.75,5.75,+0.15%,4273,N/A
ETU22,"06/10/2022 12:20",3910.25,3912.25,3907.75,3911,0.75,+0.02%,3674,N/A
ETU22,"06/10/2022 12:15",3902.5,3910.5,3901.25,3910.25,7.5,+0.19%,4540,N/A
ETU22,"06/10/2022 12:10",3906,3907.5,3900.5,3902.75,-3,-0.08%,3572,N/A
ETU22,"06/10/2022 12:05",3904.25,3906,3900.5,3905.75,1.25,+0.03%,3875,N/A
ETU22,"06/10/2022 12:00",3906.75,3908.5,3901.5,3904.5,-2.25,-0.06%,4834,N/A
ETU22,"06/10/2022 11:55",3903,3907.75,3901.5,3906.75,4,+0.10%,4089,N/A
ETU22,"06/10/2022 11:50",3909,3909,3902.75,3902.75,-6.25,-0.16%,5195,N/A
ETU22,"06/10/2022 11:45",3912.75,3914,3907.25,3909,-3.5,-0.09%,2970,N/A
ETU22,"06/10/2022 11:40",3911,3916,3909.25,3912.5,1.25,+0.03%,3365,N/A
ETU22,"06/10/2022 11:35",3907.5,3912.25,3906.5,3911.25,3.25,+0.08%,3739,N/A
ETU22,"06/10/2022 11:30",3910.5,3913.75,3906.25,3908,-2.25,-0.06%,5606,N/A
ETU22,"06/10/2022 11:25",3906.75,3910.5,3904.25,3910.25,3.5,+0.09%,4361,N/A
ETU22,"06/10/2022 11:20",3906.75,3912,3906,3906.75,0.25,+0.01%,5495,N/A
ETU22,"06/10/2022 11:15",3909,3910,3904.25,3906.5,-2.75,-0.07%,5433,N/A
ETU22,"06/10/2022 11:10",3918,3918,3908.75,3909.25,-8.75,-0.22%,4930,N/A
ETU22,"06/10/2022 11:05",3912.25,3920,3912.25,3918,5.75,+0.15%,6001,N/A
ETU22,"06/10/2022 11:00",3911.75,3915.75,3909.75,3912.25,0.5,+0.01%,5310,N/A
ETU22,"06/10/2022 10:55",3903.75,3914.25,3902,3911.75,7.75,+0.20%,4942,N/A
ETU22,"06/10/2022 10:50",3901.5,3906.5,3900.25,3904,2.25,+0.06%,4286,N/A
ETU22,"06/10/2022 10:45",3907.75,3911.25,3901.5,3901.75,-6.25,-0.16%,5321,N/A
ETU22,"06/10/2022 10:40",3900.5,3908.5,3899.75,3908,7.75,+0.20%,7440,N/A
ETU22,"06/10/2022 10:35",3905,3905.5,3900,3900.25,-4.75,-0.12%,4252,N/A
ETU22,"06/10/2022 10:30",3905.5,3907.25,3901,3905,-0.25,-0.01%,6511,N/A
ETU22,"06/10/2022 10:25",3907.75,3909,3902.75,3905.25,-2.5,-0.06%,7957,N/A
ETU22,"06/10/2022 10:20",3913.75,3917.25,3907.25,3907.75,-6,-0.15%,6190,N/A
ETU22,"06/10/2022 10:15",3908.5,3914.75,3905.25,3913.75,4.75,+0.12%,6957,N/A
ETU22,"06/10/2022 10:10",3908.75,3913.5,3906.25,3909,-0.25,-0.01%,8894,N/A
ETU22,"06/10/2022 10:05",3909.5,3910.5,3905.25,3909.25,-0.25,-0.01%,6730,N/A
ETU22,"06/10/2022 10:00",3909.25,3913,3906.75,3909.5,0.25,+0.01%,7184,N/A
ETU22,"06/10/2022 09:55",3921.5,3923.25,3909,3909.25,-12.25,-0.31%,9485,N/A
ETU22,"06/10/2022 09:50",3919.25,3925.75,3918.5,3921.5,2,+0.05%,11622,N/A
ETU22,"06/10/2022 09:45",3921.75,3923.5,3915.75,3919.5,-2.25,-0.06%,11133,N/A
ETU22,"06/10/2022 09:40",3918.75,3923.75,3913.75,3921.75,2.75,+0.07%,11241,N/A
ETU22,"06/10/2022 09:35",3912.5,3920.25,3911.75,3919,6.5,+0.17%,12079,N/A
ETU22,"06/10/2022 09:30",3904,3914,3903.25,3912.5,8.25,+0.21%,12473,N/A
ETU22,"06/10/2022 09:25",3904.5,3912,3902.75,3904.25,-0.5,-0.01%,10923,N/A
ETU22,"06/10/2022 09:20",3909.5,3911.25,3903,3904.75,-4.75,-0.12%,10038,N/A
ETU22,"06/10/2022 09:15",3913.25,3914.5,3907.75,3909.5,-3.75,-0.10%,12088,N/A
ETU22,"06/10/2022 09:10",3912.25,3915.25,3907.5,3913.25,0.75,+0.02%,13759,N/A
ETU22,"06/10/2022 09:05",3916.25,3921.5,3911.5,3912.5,-3.75,-0.10%,18281,N/A
ETU22,"06/10/2022 09:00",3935,3935,3913.25,3916.25,-18.75,-0.48%,26792,N/A
ETU22,"06/10/2022 08:55",3934.75,3939,3930.25,3935,0,0.00%,14602,N/A
ETU22,"06/10/2022 08:50",3942.75,3947.25,3933,3935,-7.75,-0.20%,24557,N/A
ETU22,"06/10/2022 08:45",3949.75,3953,3940.75,3942.75,-6.75,-0.17%,29259,N/A
ETU22,"06/10/2022 08:40",3940,3949.75,3938.25,3949.5,9.75,+0.25%,29308,N/A
